"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"1","2356","2378",-2.01401,0,0.858248,0.668032,1
"2","2356","7621",-161.069,0,0.684131,0.485261,1
"3","2364","10033",-252.025,0,0.66991,0.54484,1
"4","1863","10685",-301.085,0,0.705674,0.508879,1
"5","5469","8849",-88.123,0,0.738267,0.55839,1
"6","3688","8492",-125.041,0,0.617977,0.46201,1
"7","8889","12412",-378.08,0,0.64136,0.480322,1
"8","5322","11534",-296.026,0,0.669586,0.508321,1
"9","11010","11402",-60.95,0,0.695292,0.471015,1
"10","33","8849",-270.172,0,0.616496,0.410818,1
"11","4537","8399",-98.014,0,0.603211,0.414036,1
"12","3431","3656",-8.991,0,0.737124,0.499677,1
"13","3796","9336",-155.075,0,0.653545,0.4819,1
"14","1086","7315",-183.664,0,0.797353,0.694784,1
"15","3229","11142",-302.18,0,0.623897,0.430851,1
"16","6135","12314",-411.272,0,0.775163,0.58428,1
"17","10802","11010",-18.007,0,0.800027,0.60971,1
"18","9174","9336",-6.039,0,0.712029,0.449933,1
"19","3942","8889",-132.271,0,0.606259,0.412764,1
"20","4818","12382",-474.162,0,0.782818,0.505808,1
"21","4537","7605",-77.058,0,0.707831,0.543082,1
"22","2780","9786",-221.001,0,0.632868,0.482219,1
"23","33","1086",-41.029,0,0.842018,0.641639,1
"24","6371","12067",-333.144,0,0.603149,0.453777,1
"25","9784","10034",-13.994,0,0.674649,0.419135,1
"26","5469","9409",-110.116,0,0.790673,0.626113,1
"27","368","7315",-200.643,0,0.69571,0.48202,1
"28","8337","8492",-3.96201,0,0.724634,0.541929,1
"29","3229","9343",-178.075,0,0.63391,0.472898,1
"30","5918","12378",-434.229,0,0.737191,0.531474,1
"31","7108","12332",-398.363,0,0.733713,0.529001,1
"32","2356","11015",-323.127,0,0.838742,0.610482,1
"33","1194","4537",-109.009,0,0.706666,0.521078,1
"34","4310","10064",-180.062,0,0.789264,0.528094,1
"35","5716","12378",-441.116,0,0.669864,0.419468,1
"36","2378","9380",-218.044,0,0.671146,0.502134,1
"37","10176","12412",-312.102,0,0.766577,0.490846,1
"38","368","8628",-235.59,0,0.73453,0.519183,1
"39","2342","2780",-19.041,0,0.760563,0.543641,1
"40","9352","9434",-4.00699,0,0.631802,0.514705,1
"41","5469","5756",-11.157,0,0.663416,0.563063,1
"42","5918","11367",-251.244,0,0.71352,0.503457,1
"43","3110","12599",-687.178,0,0.671882,0.441093,1
"44","12378","12599",-162.073,0,0.708685,0.512019,1
"45","2780","7167",-130.985,0,0.766815,0.556446,1
"46","6135","11494",-270.14,0,0.82619,0.631374,1
"47","526","11367",-424.233,0,0.618158,0.475671,1
"48","3431","12412",-532.162,0,0.714393,0.445172,1
"49","7167","12599",-574.203,0,0.715621,0.422554,1
"50","3229","11402",-344.127,0,0.640428,0.467699,1
"51","5918","12412",-452.239,0,0.8073,0.562738,1
"52","3697","11534",-341.048,0,0.750476,0.524917,1
"53","11660","11722",-2.005,0,0.969726,0.828294,1
"54","2786","10521",-264.011,0,0.759338,0.506408,1
"55","2356","4537",-83.029,0,0.675517,0.461655,1
"56","2780","10521",-265.001,0,0.814836,0.587991,1
"57","11015","11494",-75.941,0,0.749512,0.510609,1
"58","3110","9352",-182.017,0,0.721821,0.611766,1
"59","2364","11295",-368.073,0,0.773588,0.518024,1
"60","5756","12314",-418.12,0,0.818278,0.626523,1
"61","4818","6371",-44.026,0,0.617382,0.42392,1
"62","3688","4310",-16.958,0,0.772165,0.524981,1
"63","10802","11402",-78.957,0,0.723189,0.502869,1
"64","3656","5469",-54.959,0,0.759025,0.53924,1
"65","4818","11494",-310.072,0,0.680955,0.418856,1
"66","1863","10802",-310.146,0,0.693079,0.436689,1
"67","8399","10863",-130.005,0,0.777913,0.533976,1
"68","8337","10064",-75.941,0,0.652543,0.418133,1
"69","8998","11494",-192.064,0,0.743839,0.53254,1
"70","368","3688",-105.079,0,0.686733,0.47481,1
"71","2300","8628",-190.614,0,0.817999,0.657356,1
"72","5247","12067",-363.356,0,0.849189,0.659545,1
"73","2786","11367",-359.14,0,0.812952,0.611641,1
"74","8337","11494",-219.986,0,0.69569,0.464943,1
"75","11010","12412",-256.993,0,0.769484,0.549971,1
"76","6573","7675",-328.627,0,0.7065,0.579809,1
"77","3110","5469",-74.903,0,0.773305,0.590357,1
"78","3942","12379",-493.336,0,0.705194,0.480741,1
"79","2786","7675",-448.175,0,0.765139,0.554556,1
"80","10176","11015",-56.094,0,0.855732,0.627253,1
"81","6548","11295",-232.049,0,0.78759,0.517176,1
"82","2780","8492",-165.034,0,0.699723,0.518546,1
"83","4310","7167",-74.034,0,0.836333,0.694632,1
