CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex
11,1488,-55.99,0,0.807556,0.710122,6
11,1521,-56.993,0,0.788378,0.678365,6
11,2489,-86.016,0,0.810191,0.678406,6
11,2895,-98,0,0.788107,0.556235,6
11,2923,-99.032,0,0.759396,0.587923,6
11,2929,-100.031,0,0.812916,0.64238,6
11,3261,-114.046,0,0.802675,0.611663,6
11,3312,-118.042,0,0.968093,0.860742,6
11,3446,-123.047,0,0.689925,0.580647,6
11,3597,-128.026,0,0.7262,0.552198,6
11,3668,-132.057,0,0.856359,0.660708,6
11,3691,-133.061,0,0.679318,0.555682,6
11,3724,-134.037,0,0.732811,0.539005,6
11,3920,-142.042,0,0.689185,0.542497,6
11,4565,-160.056,0,0.849794,0.671187,6
11,4711,-161.056,0,0.822561,0.614826,6
11,4753,-162.058,0,0.814315,0.617983,6
11,5142,-176.047,0,0.760192,0.516324,6
11,5211,-177.051,0,0.759736,0.518679,6
11,5315,-179.045,0,0.861951,0.65046,6
11,5389,-182.034,0,0.827211,0.577418,6
11,5407,-183.038,0,0.613683,0.458727,6
11,6167,-204.079,0,0.728205,0.442634,6
11,6999,-220.074,0,0.900016,0.710334,6
11,7068,-221.077,0,0.904419,0.706823,6
11,7963,-243.058,0,0.617863,0.497065,6
11,7992,-244.061,0,0.789811,0.56433,6
11,8468,-258.03,0,0.812472,0.605115,6
11,10357,-353.087,0,0.878078,0.618661,6
11,10811,-380.136,0,0.81113,0.613663,6
11,10831,-834.221,0,0.904671,0.706823,6
11,10836,-835.225,0,0.901916,0.705642,6
11,11033,-402.107,0,0.889642,0.661721,6
11,11308,-446.134,0,0.606272,0.412846,6
11,11325,-448.137,0,0.766815,0.453727,6
11,11855,-509.178,0,0.897954,0.667,6
11,12001,-530.156,0,0.892396,0.68917,6
11,12004,-531.159,0,0.895074,0.69244,6
11,12436,-668.224,0,0.862833,0.589931,6
11,12505,-705.184,0,0.737259,0.462083,6
12,3765,-134.037,0,0.849413,0.574193,6
12,4410,-152.047,0,0.868525,0.580257,6
12,4469,-153.051,0,0.928198,0.792822,6
12,5926,-202.056,0,0.882842,0.629314,6
12,6127,-203.103,0,0.848822,0.568543,6
12,7042,-220.11,0,0.86405,0.561544,6
12,7091,-221.099,0,0.772093,0.540717,6
12,10065,-330.052,0,0.666345,0.471426,6
12,10256,-348.063,0,0.741565,0.528318,6
12,10264,-349.066,0,0.711591,0.544814,6
12,10602,-366.074,0,0.859846,0.516589,6
12,10624,-367.105,0,0.73361,0.413467,6
12,10895,-390.11,0,0.890192,0.596831,6
12,11183,-423.139,0,0.858037,0.517593,6
12,11192,-424.143,0,0.870054,0.520674,6
12,11296,-444.118,0,0.907695,0.664354,6
14,2997,-106.036,0,0.743667,0.53633,33
14,3651,-130.006,0,0.766737,0.634971,33
14,3945,-144.002,0,0.670131,0.616614,33
14,4326,-150.032,0,0.708415,0.549136,33
14,4365,-151.035,0,0.826224,0.681053,33
14,4766,-162.032,0,0.796847,0.626579,33
14,6919,-218.094,0,0.753397,0.574699,33
14,6981,-219.091,0,0.855234,0.713021,33
46,2342,-58.99,0,0.791452,0.593831,1
46,2356,-60.021,0,0.692528,0.447227,1
46,2780,-78.031,0,0.762854,0.54098,1
46,3110,-96.041,0,0.644289,0.420651,1
46,3229,-98.986,0,0.620805,0.428649,1
46,3431,-106.994,0,0.799294,0.614195,1
46,3656,-115.985,0,0.628807,0.401449,1
46,3688,-118.024,0,0.816188,0.574681,1
46,4303,-133.998,0,0.750361,0.488464,1
46,5322,-164.068,0,0.614421,0.422936,1
46,5333,-165.001,0,0.786281,0.556135,1
46,5730,-180.977,0,0.697304,0.424168,1
46,6135,-188.949,0,0.670625,0.405152,1
46,6968,-204.067,0,0.718935,0.515642,1
46,8218,-235.107,0,0.708141,0.460052,1
46,8337,-239.103,0,0.808589,0.584753,1
46,8359,-240.084,0,0.769599,0.524858,1
46,8399,-241.064,0,0.682918,0.451096,1
46,8786,-257.116,0,0.85581,0.678053,1
46,8807,-258.095,0,0.785106,0.556519,1
46,8849,-259.067,0,0.657241,0.464779,1
46,8889,-261.076,0,0.677145,0.499931,1
46,9343,-277.061,0,0.757797,0.549158,1
46,9352,-278.058,0,0.604554,0.433322,1
46,9380,-280.079,0,0.763487,0.562089,1
46,10176,-327.054,0,0.79446,0.588214,1
46,10521,-343.032,0,0.741625,0.545107,1
46,10802,-364.156,0,0.804201,0.578371,1
46,10804,-365.118,0,0.786214,0.585368,1
46,11010,-382.163,0,0.652549,0.463212,1
46,11015,-383.148,0,0.823438,0.608997,1
46,11133,-400.18,0,0.786971,0.59597,1
46,11142,-401.166,0,0.992312,0.973457,1
46,11250,-419.175,0,0.852152,0.714394,1
46,11255,-420.128,0,0.834089,0.744306,1
46,11534,-460.094,0,0.612237,0.428532,1
46,12332,-605.165,0,0.65452,0.514896,1
46,12378,-621.146,0,0.670676,0.451658,1
46,12599,-783.219,0,0.769177,0.553126,1
55,802,-25.048,0,0.730519,0.585652,27
55,1506,-41.026,0,0.687138,0.441049,27
55,3174,-98.002,0,0.689804,0.566388,27
55,3204,-98.003,0,0.682412,0.488883,27
55,3266,-99.003,0,0.635868,0.539694,27
55,3616,-113.98,0,0.662782,0.549896,27
55,4181,-129.956,0,0.734239,0.542417,27
55,4486,-139.03,0,0.601303,0.435541,27
55,4531,-141.029,0,0.649645,0.491648,27
55,6565,-197.11,0,0.731781,0.473554,27
82,1530,-42.01,0,0.944402,0.921211,1
82,2364,-60.021,0,0.808971,0.635077,1
82,2786,-78.039,0,0.720591,0.474765,1
82,3148,-96.042,0,0.696277,0.43553,1
82,5322,-163.086,0,0.647608,0.407542,1
82,9174,-269.079,0,0.754679,0.626991,1
82,9365,-639.162,0,0.710455,0.598462,1
82,11385,-440.139,0,0.863501,0.740784,1
206,4971,-142.183,0,0.744458,0.643268,119
206,8227,-222.193,0,0.733249,0.62581,119
225,2139,-44.998,0,0.715823,0.423828,4
225,9608,-662.44,0,0.692083,0.424966,4
383,1522,-28.043,0,0.893384,0.612635,6
383,1784,-33.001,0,0.672697,0.454724,6
383,2755,-60.995,0,0.627606,0.531409,6
383,2848,-67.022,0,0.664887,0.509675,6
383,3367,-91.006,0,0.771859,0.626764,6
383,3531,-97.031,0,0.767756,0.606215,6
383,3693,-104.074,0,0.807107,0.55471,6
383,3919,-113.027,0,0.639615,0.451915,6
383,4228,-117.027,0,0.854393,0.591292,6
383,4477,-125.027,0,0.810234,0.576532,6
383,4522,-127.042,0,0.883847,0.724761,6
