SampleID,species,tissue,PlantID,chem_similarity_internal
adu_lf_86_180507,aduncum,leaf,aduncum_1,0.001109664
adu_lf_87_180507,aduncum,leaf,aduncum_2,0.001196831
adu_lf_88_180507,aduncum,leaf,aduncum_3,0.001289546
adu_rf_12_180510,aduncum,ripe,aduncum_3,0.001290409
adu_rf_13_180510,aduncum,ripe,aduncum_1,0.001089613
adu_rf_14_180510,aduncum,ripe,aduncum_2,0.001302225
adu_sd_122_180514,aduncum,seed,aduncum_1,0.001477074
adu_sd_123_180514,aduncum,seed,aduncum_2,0.001651136
adu_sd_124_180514,aduncum,seed,aduncum_3,0.001827826
adu_uf_10_180511,aduncum,unripe,aduncum_2,0.001082996
adu_uf_11_180511,aduncum,unripe,aduncum_1,0.001134884
aur_lf_89_180507,auritum,leaf,auritum_6,0.002065091
aur_lf_90_180507,auritum,leaf,auritum_10,0.001573045
aur_lf_91_180507,auritum,leaf,auritum_11,0.001789831
aur_rf_18_180510,auritum,ripe,auritum_6,0.002250118
aur_rf_19_180510,auritum,ripe,auritum_10,0.002092842
aur_rf_20_180510,auritum,ripe,auritum_11,0.002335942
aur_sd_125_180514,auritum,seed,auritum_6,0.001695987
aur_sd_126_180514,auritum,seed,auritum_10,0.002671679
aur_sd_127_180514,auritum,seed,auritum_11,0.002231405
aur_uf_15_180511,auritum,unripe,auritum_6,0.00181742
aur_uf_16_180511,auritum,unripe,auritum_10,0.001625811
aur_uf_17_180511,auritum,unripe,auritum_11,0.00209275
bio_lf_92_180507,biolleyi,leaf,biolleyi_4,0.001889808
bio_lf_93_180507,biolleyi,leaf,biolleyi_8,0.00136089
bio_lf_94_180507,biolleyi,leaf,biolleyi_10,0.001580783
bio_rf_24_180510,biolleyi,ripe,biolleyi_10,0.001630619
bio_rf_25_180510,biolleyi,ripe,biolleyi_4,0.00164558
bio_rf_70_180510,biolleyi,ripe,biolleyi_8,0.002031088
bio_sd_128_180514,biolleyi,seed,biolleyi_4,0.001397679
bio_sd_129_180514,biolleyi,seed,biolleyi_8,0.001676782
bio_sd_130_180514,biolleyi,seed,biolleyi_10,0.001603073
bio_uf_21_180511,biolleyi,unripe,biolleyi_4,0.001977634
bio_uf_22_180511,biolleyi,unripe,biolleyi_8,0.001868333
bio_uf_23_180511,biolleyi,unripe,biolleyi_10,0.001548111
col_lf_107_180507,colonense,leaf,colonense_3,0.001276657
col_lf_108_180507,colonense,leaf,colonense_8,0.001370893
col_lf_109_180507,colonense,leaf,colonense_11,0.001356459
col_rf_27_180510,colonense,ripe,colonense_8,0.001425458
col_rf_28_180510,colonense,ripe,colonense_11,0.001375141
col_rf_29_180510,colonense,ripe,colonense_12,0.00152305
col_rf_72_180510,colonense,ripe,colonense_3,0.001342353
col_sd_131_180514,colonense,seed,colonense_3,0.001832341
col_sd_132_180514,colonense,seed,colonense_8,0.001255177
col_sd_133_180514,colonense,seed,colonense_11,0.001481481
col_uf_26_180511,colonense,unripe,colonense_8,0.001415138
col_uf_71_180511,colonense,unripe,colonense_11,0.001399631
col_uf_73_180511,colonense,unripe,colonense_3,0.001343662
gen_lf_110_180507,generalense,leaf,generalense_3,0.002025698
gen_lf_111_180507,generalense,leaf,generalense_1,0.000909312
gen_lf_112_180507,generalense,leaf,generalense_2,0.001105356
gen_rf_33_180510,generalense,ripe,generalense_3,0.002189943
gen_rf_34_180510,generalense,ripe,generalense_1,0.002619098
gen_rf_35_180510,generalense,ripe,generalense_2,0.002777419
gen_sd_134_180514,generalense,seed,generalense_1,0.003772181
gen_sd_135_180514,generalense,seed,generalense_2,0.004145408
gen_sd_136_180514,generalense,seed,generalense_3,0.004092705
gen_uf_30_180511,generalense,unripe,generalense_3,0.002553406
gen_uf_31_180511,generalense,unripe,generalense_1,0.001693157
