Sample,Species,FreshMass
10086,aduncu,0.05
10087,aduncu,0.05
10088,aduncu,0.05
10013,aduncu,0.05
10014,aduncu,0.05
10123,aduncu,0.05
10010,aduncu,0.05
10816,allspp,0.05
10815,allspp,0.05
10814,allspp,0.05
10813,allspp,0.05
10812,allspp,0.05
10811,allspp,0.05
10810,allspp,0.05
10809,allspp,0.05
10808,allspp,0.05
10807,allspp,0.05
10806,allspp,0.05
10805,allspp,0.05
10804,allspp,0.05
10803,allspp,0.05
10802,allspp,0.05
10801,allspp,0.05
10089,auritu,0.05
10090,auritu,0.05
10091,auritu,0.05
10018,auritu,0.05
10127,auritu,0.05
10015,auritu,0.05
10016,auritu,0.05
10093,biolle,0.05
10094,biolle,0.05
10024,biolle,0.05
10025,biolle,0.05
10128,biolle,0.05
10129,biolle,0.05
10021,biolle,0.05
10022,biolle,0.05
10023,biolle,0.05
10107,colone,0.05
10108,colone,0.05
10109,colone,0.05
10131,colone,0.05
10132,colone,0.05
10071,colone,0.05
10073,colone,0.05
10110,genera,0.05
10031,genera,0.05
10113,glabra,0.05
10114,glabra,0.05
10041,glabra,0.05
10037,glabra,0.05
10116,multip,0.05
10117,multip,0.05
10118,multip,0.05
10048,multip,0.05
10049,multip,0.05
10140,multip,0.05
10141,multip,0.05
10046,multip,0.05
10121,peltat,0.05
10056,peltat,0.05
10057,peltat,0.05
10052,peltat,0.05
10053,peltat,0.05
10054,peltat,0.05
10096,reticu,0.05
10097,reticu,0.05
10062,reticu,0.05
10146,reticu,0.05
10147,reticu,0.05
10148,reticu,0.05
10058,reticu,0.05
10059,reticu,0.05
10060,reticu,0.05
10098,sancti,0.05
10099,sancti,0.05
10069,sancti,0.05
10149,sancti,0.05
10151,sancti,0.05
10064,sancti,0.05
10065,sancti,0.05
10101,silviv,0.05
10103,silviv,0.05
10078,silviv,0.05
10079,silviv,0.05
10152,silviv,0.05
10074,silviv,0.05
10075,silviv,0.05
10076,silviv,0.05
10104,umbric,0.05
10106,umbric,0.05
10085,umbric,0.05
10157,umbric,0.05
10080,umbric,0.05
10081,umbric,0.05
10082,umbric,0.05
