"","SampleID","sp","tissue","PlantID","richness"
"1","ret_lf_95_180507","reticulatum","leaf","reticulatum_7",300
"2","ret_lf_96_180507","reticulatum","leaf","reticulatum_11",349
"3","ret_lf_97_180507","reticulatum","leaf","reticulatum_7b",368
"4","ret_rf_61_180510","reticulatum","ripe","reticulatum_7",400
"5","ret_rf_62_180510","reticulatum","ripe","reticulatum_11",427
"6","ret_rf_63_180510","reticulatum","ripe","reticulatum_7b",479
"7","ret_uf_58_180511","reticulatum","unripe","reticulatum_7",430
"8","ret_uf_59_180511","reticulatum","unripe","reticulatum_11",414
"9","ret_uf_60_180511","reticulatum","unripe","reticulatum_7b",499
"10","ret_sd_146_180514","reticulatum","seed","reticulatum_7b",488
"11","ret_sd_147_180514","reticulatum","seed","reticulatum_11",335
"12","ret_sd_148_180514","reticulatum","seed","reticulatum_7",407
