"","sp","Fstat","P","Fstat","P"
"1","aduncum",3.06334944138005,0.001,3.06334944138005,0.001
"2","auritum",3.51500356576076,0.002,3.51500356576076,0.001
"3","biolleyi",2.19302152466525,0.009,2.19302152466525,0.012
"4","colonense",4.39663145460955,0.001,4.39663145460955,0.001
"5","generalense",4.11882051899681,0.001,4.11882051899681,0.001
"6","glabrescens",4.18446570453194,0.001,4.18446570453194,0.001
"7","multiplinervum",3.46382695178682,0.001,3.46382695178682,0.001
"8","peltatum",4.51085347090128,0.002,4.51085347090128,0.001
"9","reticulatum",5.37755781776388,0.001,5.37755781776388,0.001
"10","sancti-felicis",3.6722390986668,0.001,3.6722390986668,0.001
"11","silvivagum",5.19559068304861,0.001,5.19559068304861,0.001
"12","umbricola",2.89034667026776,0.002,2.89034667026776,0.001
