species,tissue,exn,Color,Symbol
adu,lf,86,#35b779ff,0
adu,lf,87,#35b779ff,0
adu,lf,88,#35b779ff,0
adu,rf,12,#440154ff,0
adu,rf,13,#440154ff,0
adu,rf,14,#440154ff,0
adu,sd,122,#fde725ff,0
adu,sd,123,#fde725ff,0
adu,sd,124,#fde725ff,0
adu,uf,10,#31688EFF,0
adu,uf,11,#31688EFF,0
aur,lf,89,#35b779ff,1
aur,lf,90,#35b779ff,1
aur,lf,91,#35b779ff,1
aur,rf,18,#440154ff,1
aur,rf,19,#440154ff,1
aur,rf,20,#440154ff,1
aur,sd,125,#fde725ff,1
aur,sd,126,#fde725ff,1
aur,sd,127,#fde725ff,1
aur,uf,15,#31688EFF,1
aur,uf,16,#31688EFF,1
aur,uf,17,#31688EFF,1
bio,lf,92,#35b779ff,2
bio,lf,93,#35b779ff,2
bio,lf,94,#35b779ff,2
bio,rf,24,#440154ff,2
bio,rf,25,#440154ff,2
bio,rf,70,#440154ff,2
bio,sd,128,#fde725ff,2
bio,sd,129,#fde725ff,2
bio,sd,130,#fde725ff,2
bio,uf,21,#31688EFF,2
bio,uf,22,#31688EFF,2
bio,uf,23,#31688EFF,2
col,lf,107,#35b779ff,3
col,lf,108,#35b779ff,3
col,lf,109,#35b779ff,3
col,rf,27,#440154ff,3
col,rf,28,#440154ff,3
col,rf,29,#440154ff,3
col,rf,72,#440154ff,3
col,sd,131,#fde725ff,3
col,sd,132,#fde725ff,3
col,sd,133,#fde725ff,3
col,uf,26,#31688EFF,3
col,uf,71,#31688EFF,3
col,uf,73,#31688EFF,3
gen,lf,110,#35b779ff,4
gen,lf,111,#35b779ff,4
gen,lf,112,#35b779ff,4
gen,rf,33,#440154ff,4
gen,rf,34,#440154ff,4
gen,rf,35,#440154ff,4
gen,sd,134,#fde725ff,4
gen,sd,135,#fde725ff,4
gen,sd,136,#fde725ff,4
gen,uf,30,#31688EFF,4
gen,uf,31,#31688EFF,4
gen,uf,32,#31688EFF,4
gla,lf,113,#35b779ff,5
gla,lf,114,#35b779ff,5
gla,lf,115,#35b779ff,5
gla,rf,39,#440154ff,5
gla,rf,40,#440154ff,5
gla,rf,41,#440154ff,5
gla,sd,137,#fde725ff,5
gla,sd,138,#fde725ff,5
gla,sd,139,#fde725ff,5
gla,uf,36,#31688EFF,5
gla,uf,37,#31688EFF,5
gla,uf,38,#31688EFF,5
mul,lf,116,#35b779ff,6
mul,lf,117,#35b779ff,6
mul,lf,118,#35b779ff,6
mul,rf,48,#440154ff,6
mul,rf,49,#440154ff,6
mul,rf,50,#440154ff,6
mul,sd,140,#fde725ff,6
mul,sd,141,#fde725ff,6
mul,sd,142,#fde725ff,6
mul,uf,45,#31688EFF,6
mul,uf,46,#31688EFF,6
mul,uf,47,#31688EFF,6
pel,lf,119,#35b779ff,7
pel,lf,120,#35b779ff,7
pel,lf,121,#35b779ff,7
pel,rf,55,#440154ff,7
pel,rf,56,#440154ff,7
pel,rf,57,#440154ff,7
pel,sd,143,#fde725ff,7
pel,sd,144,#fde725ff,7
pel,sd,145,#fde725ff,7
pel,uf,51,#31688EFF,7
pel,uf,52,#31688EFF,7
pel,uf,53,#31688EFF,7
pel,uf,54,#31688EFF,7
ret,lf,95,#35b779ff,8
ret,lf,96,#35b779ff,8
ret,lf,97,#35b779ff,8
ret,rf,61,#440154ff,8
ret,rf,62,#440154ff,8
ret,rf,63,#440154ff,8
ret,sd,146,#fde725ff,8
ret,sd,147,#fde725ff,8
ret,sd,148,#fde725ff,8
ret,uf,58,#31688EFF,8
ret,uf,59,#31688EFF,8
ret,uf,60,#31688EFF,8
san,lf,98,#35b779ff,9
san,lf,99,#35b779ff,9
san,lf,100,#35b779ff,9
san,rf,67,#440154ff,9
san,rf,68,#440154ff,9
san,rf,69,#440154ff,9
san,sd,149,#fde725ff,9
san,sd,150,#fde725ff,9
san,sd,151,#fde725ff,9
san,uf,64,#31688EFF,9
san,uf,65,#31688EFF,9
san,uf,66,#31688EFF,9
sil,lf,101,#35b779ff,10
sil,lf,102,#35b779ff,10
sil,lf,103,#35b779ff,10
sil,rf,77,#440154ff,10
sil,rf,78,#440154ff,10
sil,rf,79,#440154ff,10
sil,sd,152,#fde725ff,10
sil,sd,153,#fde725ff,10
sil,sd,154,#fde725ff,10
sil,uf,74,#31688EFF,10
sil,uf,75,#31688EFF,10
sil,uf,76,#31688EFF,10
umb,lf,104,#35b779ff,12
umb,lf,105,#35b779ff,12
umb,lf,106,#35b779ff,12
umb,rf,83,#440154ff,12
umb,rf,84,#440154ff,12
umb,rf,85,#440154ff,12
umb,sd,155,#fde725ff,12
umb,sd,156,#fde725ff,12
umb,sd,157,#fde725ff,12
umb,uf,80,#31688EFF,12
umb,uf,81,#31688EFF,12
umb,uf,82,#31688EFF,12
