species,tissue,extraction_num,run_date,chem_similarity_internal
adu,lf,86,180507,0.001109664
adu,lf,87,180507,0.001196831
adu,lf,88,180507,0.001289546
adu,rf,12,180510,0.001290409
adu,rf,13,180510,0.001089613
adu,rf,14,180510,0.001302225
adu,sd,122,180514,0.001477074
adu,sd,123,180514,0.001651136
adu,sd,124,180514,0.001827826
adu,uf,10,180511,0.001082996
adu,uf,11,180511,0.001134884
aur,lf,89,180507,0.002065091
aur,lf,90,180507,0.001573045
aur,lf,91,180507,0.001789831
aur,rf,18,180510,0.002250118
aur,rf,19,180510,0.002092842
aur,rf,20,180510,0.002335942
aur,sd,125,180514,0.001695987
aur,sd,126,180514,0.002671679
aur,sd,127,180514,0.002231405
aur,uf,15,180511,0.00181742
aur,uf,16,180511,0.001625811
aur,uf,17,180511,0.00209275
bio,lf,92,180507,0.001889808
bio,lf,93,180507,0.00136089
bio,lf,94,180507,0.001580783
bio,rf,24,180510,0.001630619
bio,rf,25,180510,0.00164558
bio,rf,70,180510,0.002031088
bio,sd,128,180514,0.001397679
bio,sd,129,180514,0.001676782
bio,sd,130,180514,0.001603073
bio,uf,21,180511,0.001977634
bio,uf,22,180511,0.001868333
bio,uf,23,180511,0.001548111
col,lf,107,180507,0.001276657
col,lf,108,180507,0.001370893
col,lf,109,180507,0.001356459
col,rf,27,180510,0.001425458
col,rf,28,180510,0.001375141
col,rf,29,180510,0.00152305
col,rf,72,180510,0.001342353
col,sd,131,180514,0.001832341
col,sd,132,180514,0.001255177
col,sd,133,180514,0.001481481
col,uf,26,180511,0.001415138
col,uf,71,180511,0.001399631
col,uf,73,180511,0.001343662
gen,lf,110,180507,0.002025698
gen,lf,111,180507,0.000909312
gen,lf,112,180507,0.001105356
gen,rf,33,180510,0.002189943
gen,rf,34,180510,0.002619098
gen,rf,35,180510,0.002777419
gen,sd,134,180514,0.003772181
gen,sd,135,180514,0.004145408
gen,sd,136,180514,0.004092705
gen,uf,30,180511,0.002553406
gen,uf,31,180511,0.001693157
gen,uf,32,180511,0.001943759
gla,lf,113,180507,0.001893648
gla,lf,114,180507,0.002508927
gla,lf,115,180507,0.001188755
gla,rf,39,180510,0.00117085
gla,rf,40,180510,0.000949837
gla,rf,41,180510,0.000889644
gla,sd,137,180514,0.001579069
gla,sd,138,180514,0.001389994
gla,sd,139,180514,0.001520145
gla,uf,36,180511,0.001103996
gla,uf,37,180511,0.000990534
gla,uf,38,180511,0.001154371
mul,lf,116,180507,0.001354075
mul,lf,117,180507,0.001554635
mul,lf,118,180507,0.00192435
mul,rf,48,180510,0.001071835
mul,rf,49,180510,0.001513026
mul,rf,50,180510,0.001434997
mul,sd,140,180514,0.001657221
mul,sd,141,180514,0.001839967
mul,sd,142,180514,0.002060201
mul,uf,45,180511,0.001615044
mul,uf,46,180511,0.001387546
mul,uf,47,180511,0.001311598
pel,lf,119,180507,0.001947226
pel,lf,120,180507,0.002198512
pel,lf,121,180507,0.002283145
pel,rf,55,180510,0.002298535
pel,rf,56,180510,0.002218628
pel,rf,57,180510,0.001937352
pel,sd,143,180514,0.002805581
pel,sd,144,180514,0.00248341
pel,sd,145,180514,0.002576711
pel,uf,51,180511,0.00256987
pel,uf,52,180511,0.00199812
pel,uf,53,180511,0.00179836
pel,uf,54,180511,0.002484973
ret,lf,95,180507,0.001582101
ret,lf,96,180507,0.001469122
ret,lf,97,180507,0.001502021
ret,rf,61,180510,0.001757707
ret,rf,62,180510,0.001443535
ret,rf,63,180510,0.001341762
ret,sd,146,180514,0.001350588
ret,sd,147,180514,0.001763385
ret,sd,148,180514,0.001598234
ret,uf,58,180511,0.00138276
ret,uf,59,180511,0.001430184
ret,uf,60,180511,0.001306952
san,lf,100,180507,0.001637214
san,lf,98,180507,0.001388367
san,lf,99,180507,0.00146952
san,rf,67,180510,0.001653862
san,rf,68,180510,0.001531278
san,rf,69,180510,0.001612622
san,sd,149,180514,0.001796577
san,sd,150,180514,0.002077198
san,sd,151,180514,0.001818286
san,uf,64,180511,0.001722854
san,uf,65,180511,0.001501704
san,uf,66,180511,0.001706625
sil,lf,101,180507,0.002762699
sil,lf,102,180507,0.002751062
sil,lf,103,180507,0.002399279
sil,rf,77,180510,0.00145935
sil,rf,78,180510,0.001815043
sil,rf,79,180510,0.001463893
sil,sd,152,180514,0.001815664
sil,sd,153,180514,0.00205407
sil,sd,154,180514,0.002141888
sil,uf,74,180511,0.001551162
sil,uf,75,180511,0.001174334
sil,uf,76,180511,0.001257454
umb,lf,104,180507,0.001043629
umb,lf,105,180507,0.001122859
umb,lf,106,180507,0.000923821
umb,rf,83,180510,0.001169034
umb,rf,84,180510,0.001104535
umb,rf,85,180510,0.001074729
umb,sd,155,180514,0.001104694
umb,sd,156,180514,0.00141023
umb,sd,157,180514,0.001429695
umb,uf,80,180511,0.001035076
umb,uf,81,180511,0.000928516
umb,uf,82,180511,0.000951119
